timeStamp,Material,TxPower,RTT,RSSI,matOrder,,TxPower,(All),,,,
243029,WATER,32,1,-35,4,,,,,,,
243235,WATER,26,2,-30,4,,,,,,,
243441,WATER,18,1,-30,4,,,,,,,
243646,WATER,6,1,-43,4,,,,,,,
243760,WATER,76,2,-43,4,,,,,,,
243840,WATER,70,2,-26,4,,,,,,,
244056,WATER,58,1,-29,4,,,,,,,
244262,WATER,50,1,-31,4,,,,,,,
244467,WATER,32,1,-38,4,,,,,,,
244673,WATER,26,1,-30,4,,,,,,,
244878,WATER,18,1,-31,4,,,,,,,
244960,WATER,6,2,-31,4,,,,,,,
245065,WATER,76,2,-26,4,,,,,,,
245271,WATER,70,1,-26,4,,,,,,,
245487,WATER,58,2,-29,4,,,,,,,
245692,WATER,50,2,-32,4,,,,,,,
245898,WATER,32,1,-36,4,,,,,,,
246104,WATER,26,1,-30,4,,,,,,,
246309,WATER,18,1,-31,4,,,,,,,
246515,WATER,6,2,-43,4,,,,,,,
246722,WATER,76,1,-26,4,,,,,,,
246928,WATER,70,2,-27,4,,,,,,,
247133,WATER,58,1,-30,4,,,,,,,
247318,WATER,50,1,-31,4,,,,,,,
247534,WATER,32,2,-36,4,,,,,,,
247740,WATER,26,1,-31,4,,,,,,,
247945,WATER,18,2,-30,4,,,,,,,
248151,WATER,6,2,-43,4,,,,,,,
248255,WATER,76,1,-43,4,,,,,,,
248356,WATER,70,1,-27,4,,,,,,,
248561,WATER,58,1,-29,4,,,,,,,
248767,WATER,50,1,-31,4,,,,,,,
248972,WATER,32,1,-36,4,,,,,,,
249178,WATER,26,2,-31,4,,,,,,,
249384,WATER,18,1,-31,4,,,,,,,
249589,WATER,6,1,-43,4,,,,,,,
249746,WATER,76,1,-43,4,,,,,,,
249993,WATER,70,1,-26,4,,,,,,,
250198,WATER,58,2,-29,4,,,,,,,
250404,WATER,50,1,-32,4,,,,,,,
250610,WATER,32,1,-36,4,,,,,,,
250815,WATER,26,1,-30,4,,,,,,,
251021,WATER,18,1,-31,4,,,,,,,
251226,WATER,6,2,-44,4,,,,,,,
251424,WATER,76,1,-26,4,,,,,,,
251629,WATER,70,1,-26,4,,,,,,,
251835,WATER,58,1,-29,4,,,,,,,
252040,WATER,50,1,-32,4,,,,,,,
252245,WATER,32,1,-36,4,,,,,,,
252451,WATER,26,2,-30,4,,,,,,,
252657,WATER,18,1,-31,4,,,,,,,
252862,WATER,6,1,-44,4,,,,,,,
253007,WATER,76,1,-44,4,,,,,,,
253276,WATER,70,1,-26,4,,,,,,,
253481,WATER,58,1,-29,4,,,,,,,
253687,WATER,50,1,-32,4,,,,,,,
253892,WATER,32,1,-36,4,,,,,,,
254087,WATER,26,1,-31,4,,,,,,,
254293,WATER,18,1,-30,4,,,,,,,
254498,WATER,6,1,-43,4,,,,,,,
254705,WATER,76,1,-26,4,,,,,,,
254911,WATER,70,1,-26,4,,,,,,,
255116,WATER,58,1,-30,4,,,,,,,
255322,WATER,50,1,-32,4,,,,,,,
255527,WATER,32,1,-36,4,,,,,,,
255733,WATER,26,1,-30,4,,,,,,,
255939,WATER,18,1,-30,4,,,,,,,
256144,WATER,6,1,-43,4,,,,,,,
256258,WATER,76,2,-25,4,,,,,,,
256537,WATER,70,2,-27,4,,,,,,,
256754,WATER,58,1,-30,4,,,,,,,
256960,WATER,50,2,-31,4,,,,,,,
257165,WATER,32,1,-36,4,,,,,,,
257371,WATER,26,1,-30,4,,,,,,,
257576,WATER,18,1,-31,4,,,,,,,
257782,WATER,6,1,-44,4,,,,,,,
257979,WATER,76,1,-25,4,,,,,,,
258184,WATER,70,1,-27,4,,,,,,,
258390,WATER,58,1,-29,4,,,,,,,
258470,WATER,50,1,-29,4,,,,,,,
258593,WATER,32,2,-36,4,,,,,,,
258798,WATER,26,1,-31,4,,,,,,,
259003,WATER,18,1,-30,4,,,,,,,
259209,WATER,6,1,-43,4,,,,,,,
259416,WATER,76,1,-26,4,,,,,,,
259622,WATER,70,1,-27,4,,,,,,,
259828,WATER,58,2,-30,4,,,,,,,
260033,WATER,50,2,-32,4,,,,,,,
260240,WATER,32,1,-36,4,,,,,,,
260445,WATER,26,2,-30,4,,,,,,,
260630,WATER,18,1,-30,4,,,,,,,
260846,WATER,6,1,-43,4,,,,,,,
261011,WATER,76,1,-43,4,,,,,,,
261259,WATER,70,1,-26,4,,,,,,,
261464,WATER,58,1,-29,4,,,,,,,
261670,WATER,50,1,-31,4,,,,,,,
261875,WATER,32,2,-37,4,,,,,,,
262081,WATER,26,1,-31,4,,,,,,,
262287,WATER,18,1,-30,4,,,,,,,
262493,WATER,6,1,-44,4,,,,,,,
262690,WATER,76,1,-26,4,,,,,,,
262895,WATER,70,1,-26,4,,,,,,,
263101,WATER,58,1,-29,4,,,,,,,
263306,WATER,50,1,-32,4,,,,,,,
263512,WATER,32,1,-37,4,,,,,,,
263717,WATER,26,1,-31,4,,,,,,,
263923,WATER,18,1,-31,4,,,,,,,
264128,WATER,6,1,-43,4,,,,,,,
264263,WATER,76,1,-43,4,,,,,,,
264541,WATER,70,1,-27,4,,,,,,,
264736,WATER,58,1,-30,4,,,,,,,
264942,WATER,50,1,-32,4,,,,,,,
265148,WATER,32,1,-36,4,,,,,,,
265353,WATER,26,2,-30,4,,,,,,,
265559,WATER,18,1,-30,4,,,,,,,
265764,WATER,6,1,-43,4,,,,,,,
265971,WATER,76,1,-26,4,,,,,,,
266177,WATER,70,1,-26,4,,,,,,,
266383,WATER,58,1,-29,4,,,,,,,
266589,WATER,50,1,-31,4,,,,,,,
266784,WATER,32,2,-37,4,,,,,,,
266990,WATER,26,1,-30,4,,,,,,,
267196,WATER,18,1,-31,4,,,,,,,
267402,WATER,6,1,-43,4,,,,,,,
267517,WATER,76,3,-43,4,,,,,,,
267597,WATER,70,1,-26,4,,,,,,,
267813,WATER,58,1,-29,4,,,,,,,
268019,WATER,50,2,-31,4,,,,,,,
268224,WATER,32,1,-37,4,,,,,,,
268430,WATER,26,2,-31,4,,,,,,,
268636,WATER,18,1,-30,4,,,,,,,
268841,WATER,6,1,-44,4,,,,,,,
269018,WATER,76,1,-44,4,,,,,,,
269246,WATER,70,2,-26,4,,,,,,,
269451,WATER,58,2,-30,4,,,,,,,
567847,Water90Gelatin10,26,1,-36,3,,,,,,,
568052,Water90Gelatin10,18,1,-36,3,,,,,,,
568248,Water90Gelatin10,6,1,-49,3,,,,,,,
568361,Water90Gelatin10,76,1,-49,3,,,,,,,
568462,Water90Gelatin10,70,1,-31,3,,,,,,,
568668,Water90Gelatin10,58,1,-35,3,,,,,,,
568759,Water90Gelatin10,50,2,-37,3,,,,,,,
568871,Water90Gelatin10,32,2,-42,3,,,,,,,
569077,Water90Gelatin10,26,1,-36,3,,,,,,,
569282,Water90Gelatin10,18,2,-35,3,,,,,,,
569478,Water90Gelatin10,6,1,-48,3,,,,,,,
569612,Water90Gelatin10,76,1,-48,3,,,,,,,
569891,Water90Gelatin10,70,1,-32,3,,,,,,,
570096,Water90Gelatin10,58,1,-35,3,,,,,,,
570302,Water90Gelatin10,50,1,-36,3,,,,,,,
570507,Water90Gelatin10,32,1,-42,3,,,,,,,
570713,Water90Gelatin10,26,2,-36,3,,,,,,,
570919,Water90Gelatin10,18,1,-36,3,,,,,,,
571124,Water90Gelatin10,6,1,-49,3,,,,,,,
571311,Water90Gelatin10,76,1,-30,3,,,,,,,
571527,Water90Gelatin10,70,1,-31,3,,,,,,,
571733,Water90Gelatin10,58,2,-34,3,,,,,,,
571938,Water90Gelatin10,50,1,-36,3,,,,,,,
572144,Water90Gelatin10,32,1,-42,3,,,,,,,
572349,Water90Gelatin10,26,1,-35,3,,,,,,,
572554,Water90Gelatin10,18,1,-36,3,,,,,,,
572750,Water90Gelatin10,6,1,-48,3,,,,,,,
572863,Water90Gelatin10,76,1,-30,3,,,,,,,
572964,Water90Gelatin10,70,1,-31,3,,,,,,,
573170,Water90Gelatin10,58,1,-36,3,,,,,,,
573375,Water90Gelatin10,50,1,-38,3,,,,,,,
573581,Water90Gelatin10,32,1,-41,3,,,,,,,
573787,Water90Gelatin10,26,2,-35,3,,,,,,,
573992,Water90Gelatin10,18,1,-37,3,,,,,,,
574188,Water90Gelatin10,6,2,-48,3,,,,,,,
574354,Water90Gelatin10,76,2,-48,3,,,,,,,
574601,Water90Gelatin10,70,1,-31,3,,,,,,,
574806,Water90Gelatin10,58,1,-36,3,,,,,,,
575012,Water90Gelatin10,50,1,-37,3,,,,,,,
575218,Water90Gelatin10,32,1,-41,3,,,,,,,
575423,Water90Gelatin10,26,1,-35,3,,,,,,,
